user_ID,meal,rating,name
1,0,3,'Spaghetti Bolognese'
1,1,1,'Chili con Carne'
1,2,3,'Margarita Pizza'
1,3,4,'Toad in the Hole'
1,4,4,'Caesar Salad'
1,5,3,'Pesto'
1,6,4,'Cheese Burger'
1,7,4,'Steak and Chips'
1,8,2,'Macaroni Cheese'
1,9,4,'Fish and Chips'
1,10,1,'BBQ Ribs'
1,11,1,'Chicken Tikka Masala'
1,12,4,'Miso Ramen'
1,13,3,'Ratatouille'
1,14,2,'Spaghetti Carbonara'
1,15,4,'Bangers and Mash'
1,16,2,'Chicken Wings'
1,17,4,'Hot Dog'
1,18,5,'Green Leaf Salad'
2,0,5,'Spaghetti Bolognese'
2,1,4,'Chili con Carne'
2,2,1,'Margarita Pizza'
2,3,1,'Toad in the Hole'
2,4,1,'Caesar Salad'
2,5,5,'Pesto'
2,6,1,'Cheese Burger'
2,7,1,'Steak and Chips'
2,8,4,'Macaroni Cheese'
2,9,1,'Fish and Chips'
2,10,1,'BBQ Ribs'
2,11,3,'Chicken Tikka Masala'
2,12,4,'Miso Ramen'
2,13,1,'Ratatouille'
2,14,4,'Spaghetti Carbonara'
2,15,1,'Bangers and Mash'
2,16,1,'Chicken Wings'
2,17,1,'Hot Dog'
2,18,1,'Green Leaf Salad'
3,0,3,'Spaghetti Bolognese'
3,1,5,'Chili con Carne'
3,2,3,'Margarita Pizza'
3,3,1,'Toad in the Hole'
3,4,1,'Caesar Salad'
3,5,2,'Pesto'
3,6,1,'Cheese Burger'
3,7,2,'Steak and Chips'
3,8,1,'Macaroni Cheese'
3,9,1,'Fish and Chips'
3,10,3,'BBQ Ribs'
3,11,5,'Chicken Tikka Masala'
3,12,2,'Miso Ramen'
3,13,2,'Ratatouille'
3,14,1,'Spaghetti Carbonara'
3,15,1,'Bangers and Mash'
3,16,3,'Chicken Wings'
3,17,1,'Hot Dog'
3,18,1,'Green Leaf Salad'
4,0,5,'Spaghetti Bolognese'
4,1,1,'Chili con Carne'
4,2,2,'Margarita Pizza'
4,3,2,'Toad in the Hole'
4,4,5,'Caesar Salad'
4,5,4,'Pesto'
4,6,2,'Cheese Burger'
4,7,1,'Steak and Chips'
4,8,2,'Macaroni Cheese'
4,9,1,'Fish and Chips'
4,10,1,'BBQ Ribs'
4,11,1,'Chicken Tikka Masala'
4,12,5,'Miso Ramen'
4,13,5,'Ratatouille'
4,14,1,'Spaghetti Carbonara'
4,15,1,'Bangers and Mash'
4,16,1,'Chicken Wings'
4,17,1,'Hot Dog'
4,18,5,'Green Leaf Salad'
5,0,4,'Spaghetti Bolognese'
5,1,5,'Chili con Carne'
5,2,3,'Margarita Pizza'
5,3,5,'Toad in the Hole'
5,4,1,'Caesar Salad'
5,5,3,'Pesto'
5,6,4,'Cheese Burger'
5,7,5,'Steak and Chips'
5,8,3,'Macaroni Cheese'
5,9,5,'Fish and Chips'
5,10,5,'BBQ Ribs'
5,11,5,'Chicken Tikka Masala'
5,12,1,'Miso Ramen'
5,13,1,'Ratatouille'
5,14,3,'Spaghetti Carbonara'
5,15,5,'Bangers and Mash'
5,16,5,'Chicken Wings'
5,17,5,'Hot Dog'
5,18,1,'Green Leaf Salad'
6,0,2,'Spaghetti Bolognese'
6,1,5,'Chili con Carne'
6,2,3,'Margarita Pizza'
6,3,2,'Toad in the Hole'
6,4,2,'Caesar Salad'
6,5,4,'Pesto'
6,6,3,'Cheese Burger'
6,7,4,'Steak and Chips'
6,8,5,'Macaroni Cheese'
6,9,2,'Fish and Chips'
6,10,5,'BBQ Ribs'
6,11,5,'Chicken Tikka Masala'
6,12,2,'Miso Ramen'
6,13,2,'Ratatouille'
6,14,3,'Spaghetti Carbonara'
6,15,2,'Bangers and Mash'
6,16,5,'Chicken Wings'
6,17,4,'Hot Dog'
6,18,1,'Green Leaf Salad'
7,0,1,'Spaghetti Bolognese'
7,1,1,'Chili con Carne'
7,2,5,'Margarita Pizza'
7,3,4,'Toad in the Hole'
7,4,2,'Caesar Salad'
7,5,2,'Pesto'
7,6,5,'Cheese Burger'
7,7,5,'Steak and Chips'
7,8,1,'Macaroni Cheese'
7,9,2,'Fish and Chips'
7,10,1,'BBQ Ribs'
7,11,1,'Chicken Tikka Masala'
7,12,1,'Miso Ramen'
7,13,3,'Ratatouille'
7,14,1,'Spaghetti Carbonara'
7,15,2,'Bangers and Mash'
7,16,4,'Chicken Wings'
7,17,4,'Hot Dog'
7,18,4,'Green Leaf Salad'
8,0,1,'Spaghetti Bolognese'
8,1,1,'Chili con Carne'
8,2,2,'Margarita Pizza'
8,3,1,'Toad in the Hole'
8,4,1,'Caesar Salad'
8,5,1,'Pesto'
8,6,1,'Cheese Burger'
8,7,1,'Steak and Chips'
8,8,1,'Macaroni Cheese'
8,9,1,'Fish and Chips'
8,10,5,'BBQ Ribs'
8,11,1,'Chicken Tikka Masala'
8,12,1,'Miso Ramen'
8,13,1,'Ratatouille'
8,14,1,'Spaghetti Carbonara'
8,15,1,'Bangers and Mash'
8,16,5,'Chicken Wings'
8,17,1,'Hot Dog'
8,18,1,'Green Leaf Salad'
9,0,3,'Spaghetti Bolognese'
9,1,5,'Chili con Carne'
9,2,1,'Margarita Pizza'
9,3,2,'Toad in the Hole'
9,4,4,'Caesar Salad'
9,5,5,'Pesto'
9,6,1,'Cheese Burger'
9,7,5,'Steak and Chips'
9,8,5,'Macaroni Cheese'
9,9,5,'Fish and Chips'
9,10,5,'BBQ Ribs'
9,11,5,'Chicken Tikka Masala'
9,12,5,'Miso Ramen'
9,13,5,'Ratatouille'
9,14,5,'Spaghetti Carbonara'
9,15,5,'Bangers and Mash'
9,16,5,'Chicken Wings'
9,17,1,'Hot Dog'
9,18,5,'Green Leaf Salad'
10,0,4,'Spaghetti Bolognese'
10,1,4,'Chili con Carne'
10,2,2,'Margarita Pizza'
10,3,5,'Toad in the Hole'
10,4,4,'Caesar Salad'
10,5,3,'Pesto'
10,6,2,'Cheese Burger'
10,7,3,'Steak and Chips'
10,8,2,'Macaroni Cheese'
10,9,4,'Fish and Chips'
10,10,1,'BBQ Ribs'
10,11,3,'Chicken Tikka Masala'
10,12,4,'Miso Ramen'
10,13,4,'Ratatouille'
10,14,2,'Spaghetti Carbonara'
10,15,5,'Bangers and Mash'
10,16,1,'Chicken Wings'
10,17,3,'Hot Dog'
10,18,5,'Green Leaf Salad'
99,2,5
99,3,4
99,10,3
99,11,4